"PDF_page";"Nombre";"Vision Artificial";"DeepLearning";"CNN";"LLM";"Ciberseguridad";"NLP";"Finanzas";"Industria/Agricultura";"Astronomia";"Electricidad";"Etica/normativo";"GANs";"Sentimientos"
1;"REDES GENERATIVAS DE APRENDIZAJE PROFUNDO PARA MEJORA DE SEÑAL ASTRONÓMICA";TRUE;TRUE;;;;;;;TRUE;;;;
3;"TÉCNICAS DE EXPLICABILIDAD EN REDES DE APRENDIZAJE PROFUNDO PARA CLASIFICACIÓN Y DETECCIÓN DE ANOMALÍAS EN IMAGEN ASTRONÓMICA";TRUE;TRUE;;;;;;;TRUE;;;;
5;"APRENDIZAJE PROFUNDO SEMI SUPERVISADO EN SEÑAL MULTICANAL";TRUE;TRUE;;;;;;;TRUE;;;;
8;"Preprocesado y clasificación no supervisada de imágenes de arte rupestre levantino";TRUE;;;;;;;;;;;;
11;"Implementación de algoritmos basados en inteligencia artificial aplicados a videovigilancia";TRUE;;;;TRUE;;;;;;;;
13;"Pipeline para la predicción de caudal de ríos";;TRUE;;;;;;;;;;;
17;"Adversarial Prompting para la Detección de Fallos de Alineamiento Ético y Normativo en Modelos de Lenguaje en Ciberseguridad";;;;TRUE;TRUE;;;;;;TRUE;;
20;"Auditoría de Alineamiento Ético-Normativo en Modelos de Lenguaje Integrados en Pipelines de SOC";;;;;TRUE;;;;;;TRUE;;
23;"Análisis de competiciones de Kayak aplicando algoritmos basados en inteligencia artificial";TRUE;;;;;;;;;;;;
25;"Despliegue en dispositivos móviles de algoritmos basados el IA aplicados a la agricultura de precisión";TRUE;;;;;;;TRUE;;;;;
27;"Criterio de parada para la construcción de ontologías automáticas a partir de texto";;;;;;;;;;;;;
30;"Operational Misalignment Benchmark: Evaluación de Modelos de Lenguaje en Contextos Éticos de Ciberseguridad";;;;;TRUE;;;;;;TRUE;;
33;"Aplicación de Redes Generativas Adversarias para la Predicción y Simulación de Series Temporales Financieras";;;;;;;TRUE;;;;;TRUE;
35;"Evaluación de Estrategias de Inversión con Modelos Generativos Profundos";;TRUE;;;;;TRUE;;;;;;
37;"Integración de Algoritmos de Aprendizaje Profundo para el Análisis de Sentimiento en Mercados Financieros";;TRUE;;;;;TRUE;;;;;;TRUE
39;"Optimización de Carteras mediante Modelado Generativo y Teoría de la Información";;;;;;;TRUE;;;;;;
41;"Fusión de Modelos Generativos y Cuantitativos para el Forecasting de Crisis Financieras";;;;;;;TRUE;;;;;;
43;"Diseño e implementación de políticas de seguridad informática basadas en inteligencia artificial para la protección de infraestructuras críticas y datos sensibles";;;;;TRUE;;;;;;TRUE;;
45;"Modelado y desarrollo de estrategias de seguridad para ciudades inteligentes basadas en inteligencia artificial y análisis de datos";;TRUE;;;TRUE;;;;;;;TRUE;
47;"Aplicación de técnicas de inteligencia artificial para la detección, predicción y mitigación de ciberamenazas en entornos digitales";;TRUE;;;TRUE;TRUE;;;;;;;
49;"Estrategia inteligente para la detección del desgate en imágenes BLMD";TRUE;;;;;;;TRUE;;;;;
51;"Estrategia inteligente para la detección de la calidad de la rosca en imágenes BLMD";TRUE;;;;;;;TRUE;;;;;
53;"Rayos cósmicos y gamma bajo la lupa del Observatorio SWGOWide-field Gamma-ray Observatory)";TRUE;;;;;;;;TRUE;;;;
56;"Predicción de energía solar en horizontes temporales cercanos para control de generadores fotovoltaicos";;TRUE;;;;;;;;TRUE;;;
59;"Exploración y Desarrollo de un Marco de Trabajo para la Integración de Técnicas de Aprendizaje Profundo en Entornos BIM para la Optimización del Diseño Arquitectónico y la Detección Automatizada de Conflictos";;TRUE;;;;;;;;;TRUE;;
61;"Desarrollo de un Gemelo Digital para la Optimización del Rendimiento y Mantenimiento Predictivo en Plantas Solares Fotovoltaicas de Escala Industrial";TRUE;;;;;;;;;TRUE;;;
